index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-09-16,2341.03,2296.56,2293.87,2347.94,30269411100,238000000000.0,-0.018205409,2319.528,2268.1665,2168.3251666666665,2314.9007959173928,2275.360063115052,2195.477273224712
sh000001,2014-09-15,2330.19,2339.14,2321.59,2340.45,21511241400,185000000000.0,0.003083257,2325.522,2265.312,2163.7886666666664,2324.071193876089,2273.1284908113735,2192.050736272458
sh000001,2014-09-12,2308.35,2331.95,2302.78,2331.95,19347154000,162000000000.0,0.008768951,2322.9800000000005,2259.6915,2158.5808333333334,2316.536790814134,2266.179910896781,2187.0646537569414
sh000001,2014-09-11,2315.73,2311.68,2304.6,2343.6,22222179800,197000000000.0,-0.002858123,2317.962,2253.4175000000005,2153.444,2308.830186221201,2259.256743622758,2182.153280202323
sh000001,2014-09-10,2318.5,2318.31,2306.42,2321.91,18982899100,163000000000.0,-0.003534023,2313.352,2248.9775,2149.174666666667,2307.405279331802,2253.738506109364,2177.7625384981575
sh000001,2014-09-09,2328.43,2326.53,2315.89,2331.92,19699031800,173000000000.0,4.08e-05,2302.9,2244.142,2144.9811666666665,2301.9529189977025,2246.941506752455,2172.9982116665055
sh000001,2014-09-05,2311.31,2326.43,2307.45,2327.56,21318191700,186000000000.0,0.008483386,2284.696,2239.048,2140.9719999999998,2289.664378496554,2238.5637706211346,2167.7937373728096
sh000001,2014-09-04,2290.03,2306.86,2283.28,2307.7,19948997800,179000000000.0,0.007967659,2262.85,2232.448,2136.7101666666667,2271.2815677448307,2229.314693844412,2162.4162295816373
sh000001,2014-09-03,2268.4,2288.63,2268.1,2290.55,21247899800,188000000000.0,0.009964935,2240.6420000000003,2226.4885,2132.4576666666667,2253.4923516172457,2221.1520300385605,2157.519823652752
sh000001,2014-09-02,2239.68,2266.05,2234.38,2267.51,19212486900,171000000000.0,0.013659069,2224.81,2222.9305,2128.563,2235.9235274258685,2214.049085832093,2153.0754043901447
sh000001,2014-09-01,2220.13,2235.51,2217.69,2236.29,12916658300,117000000000.0,0.008258614,2213.022,2220.6254999999996,2125.0043333333333,2220.860291138803,2208.5753053933663,2149.2457512860556
sh000001,2014-08-29,2198.95,2217.2,2193.26,2218.7,10520249600,93043872850.0,0.009737601,2211.7740000000003,2220.0165,2121.5875,2213.5354367082045,2205.7400743821418,2146.3215348901253
sh000001,2014-08-28,2210.48,2195.82,2194.86,2219.47,12422901400,109000000000.0,-0.006176608,2216.496,2218.4215,2118.4668333333334,2211.703155062307,2204.533766422367,2143.918871169348
sh000001,2014-08-27,2207.03,2209.47,2204.05,2216.67,12088588500,104000000000.0,0.00106882,2223.424,2218.7084999999997,2115.8844999999997,2219.64473259346,2205.4510049931428,2142.1595079275885
sh000001,2014-08-26,2225.29,2207.11,2200.62,2232.79,16350742400,134000000000.0,-0.009944045,2229.572,2217.2969999999996,2112.8071666666665,2224.73209889019,2205.027952887158,2139.877792386543
sh000001,2014-08-25,2241.1,2229.27,2222.01,2241.55,16211957800,134000000000.0,-0.005149026,2237.216,2216.1009999999997,2110.0015,2233.5431483352854,2204.8087900331743,2137.5987304269734
sh000001,2014-08-22,2228.97,2240.81,2225.27,2243.3,16011167200,140000000000.0,0.004642096,2239.256,2213.535,2106.833833333333,2235.6797225029277,2202.23392582614,2134.4912240197514
sh000001,2014-08-21,2239.57,2230.46,2211.63,2240.08,16573349800,141000000000.0,-0.004353608,2236.4399999999996,2207.825,2103.497,2233.1145837543913,2198.173286439418,2130.8871908280435
sh000001,2014-08-20,2241.66,2240.21,2233.89,2248.94,16765838300,140000000000.0,-0.002279843,2231.642,2201.5550000000003,2100.4931666666666,2234.441875631587,2194.7746850119884,2127.5118346956415
sh000001,2014-08-19,2242.34,2245.33,2227.93,2246.02,17774459200,155000000000.0,0.002618481,2228.176,2193.469,2097.065833333333,2231.557813447381,2189.9920202764083,2123.6915501017734
sh000001,2014-08-18,2229.8,2239.47,2228.13,2242.04,16392862600,141000000000.0,0.005717791,2223.43,2184.9764999999998,2093.668333333333,2224.6717201710712,2184.1669697791885,2119.5682041085947
sh000001,2014-08-15,2207.23,2226.73,2203.24,2230.87,14997869100,129000000000.0,0.00918573,2220.466,2175.727,2090.253333333333,2217.272580256607,2178.345598176998,2115.503727576109
sh000001,2014-08-14,2221.54,2206.47,2204.38,2230.89,17014912300,142000000000.0,-0.007382775,2214.006,2167.344,2086.829333333333,2212.54387038491,2173.252503248261,2111.7333369479743
